id,ship_mode,segment,city,state,region,category,sub-category,product_name,sales,quantity,discount,profit,order_year,order_month,order_day,order_day_of_week,is_weekend,shipping_duration,unit_price,price_cluster
906,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",323.136,4,0.2,12.1176,2017,12,30,5,1,4,80.784,0
954,Standard Class,Consumer,Round Rock,Texas,Central,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",78.8528,2,0.32,-11.596,2017,12,28,3,0,4,39.4264,0
1042,Second Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",722.352,3,0.2,90.294,2016,9,6,1,0,3,240.784,0
1114,Second Class,Consumer,Encinitas,California,West,Furniture,Bookcases,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,1,0.15,-12.6882,2017,12,18,0,0,5,119.833,0
1211,Second Class,Corporate,New York City,New York,East,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,579.136,4,0.2,21.7176,2016,7,14,3,0,4,144.784,0
1247,Second Class,Consumer,Fresno,California,West,Furniture,Bookcases,Bestar Classic Bookcase,254.9745,3,0.15,11.9988,2014,12,12,4,0,2,84.9915,0
1302,Second Class,Home Office,Arlington,Virginia,South,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,2,0.0,4.3372,2015,9,19,5,1,5,30.98,0
1369,Standard Class,Consumer,Colorado Springs,Colorado,West,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",590.058,7,0.7,-786.744,2015,12,24,3,0,4,84.294,0
1386,Same Day,Home Office,Smyrna,Georgia,South,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",239.98,2,0.0,52.7956,2016,2,5,4,0,0,119.99,0
1534,Standard Class,Home Office,Laguna Niguel,California,West,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",203.983,2,0.15,16.7986,2017,2,10,4,0,4,101.9915,0
1539,Second Class,Consumer,Everett,Massachusetts,East,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",782.94,3,0.0,203.5644,2017,9,15,4,0,2,260.98,0
1545,Second Class,Corporate,Watertown,New York,East,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488,7,0.2,196.686,2014,12,31,2,0,4,224.78400000000002,0
1594,First Class,Home Office,Peoria,Illinois,Central,Furniture,Bookcases,Sauder Inglewood Library Bookcases,359.058,3,0.3,-35.9058,2015,3,24,1,0,3,119.68599999999999,0
1610,Standard Class,Corporate,Los Angeles,California,West,Furniture,Bookcases,Sauder Inglewood Library Bookcases,290.666,2,0.15,27.3568,2014,5,26,0,0,4,145.333,0
1714,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,307.666,2,0.15,-14.4784,2017,10,7,5,1,6,153.833,0
1723,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",359.058,3,0.3,-71.8116,2015,12,20,6,1,5,119.68599999999999,0
1760,Standard Class,Consumer,San Diego,California,West,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4,0.15,-4.8392,2015,9,5,5,1,4,102.833,0
1762,Standard Class,Consumer,San Diego,California,West,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",293.199,3,0.15,-20.6964,2015,9,5,5,1,4,97.733,0
1860,First Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",257.568,2,0.2,-28.9764,2017,3,26,6,1,1,128.784,0
1875,Standard Class,Consumer,Long Beach,New York,East,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,176.784,1,0.2,-22.098,2016,3,10,3,0,6,176.784,0
1932,Second Class,Consumer,Lafayette,Louisiana,South,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,145.74,3,0.0,23.3184,2017,8,6,6,1,4,48.580000000000005,0
2007,First Class,Consumer,Chicago,Illinois,Central,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",183.372,2,0.3,-36.6744,2017,8,3,3,0,1,91.686,0
2025,First Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,0.0,39.7488,2015,3,13,4,0,2,70.98,0
2115,Same Day,Consumer,Redlands,California,West,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,425.833,1,0.15,20.0392,2015,10,31,5,1,0,425.833,1
2122,Second Class,Home Office,Lansing,Michigan,Central,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,241.96,2,0.0,41.1332,2017,9,22,4,0,2,120.98,0
2225,Second Class,Consumer,Littleton,Colorado,West,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",72.294,1,0.7,-98.8018,2016,3,19,5,1,2,72.294,0
2262,First Class,Consumer,Arlington,Virginia,South,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",359.97,3,0.0,79.1934,2017,2,6,0,0,3,119.99000000000001,0
2281,First Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,Bestar Classic Bookcase,199.98,2,0.0,37.9962,2017,10,30,0,0,3,99.99,0
2305,First Class,Corporate,Chicago,Illinois,Central,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",141.372,2,0.3,-14.1372,2016,12,23,4,0,1,70.686,0
2326,Second Class,Corporate,New York City,New York,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",46.384,1,0.2,1.1596,2015,9,15,1,0,4,46.384,0
2353,First Class,Corporate,San Francisco,California,West,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1552.831,7,0.15,200.9546,2015,8,31,0,0,2,221.833,0
2403,Standard Class,Corporate,Huntsville,Texas,Central,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,956.6648,7,0.32,-225.0976,2016,9,27,1,0,6,136.6664,0
2415,Standard Class,Home Office,Holyoke,Massachusetts,East,Furniture,Bookcases,Bush Mission Pointe Library,301.96,2,0.0,60.392,2015,7,6,0,0,5,150.98,0
2471,Standard Class,Consumer,Fayetteville,North Carolina,South,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,0.2,-67.6704,2016,1,22,4,0,6,112.784,0
2543,Standard Class,Home Office,Malden,Massachusetts,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",173.94,3,0.0,13.9152,2016,9,8,3,0,6,57.98,0
2546,Standard Class,Consumer,San Jose,California,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,102.833,1,0.15,-6.049,2017,4,16,6,1,4,102.833,0
2558,Standard Class,Consumer,Orem,Utah,West,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1406.86,7,0.0,140.686,2015,5,31,6,1,4,200.98,0
2603,Same Day,Consumer,New York City,New York,East,Furniture,Bookcases,Sauder Inglewood Library Bookcases,136.784,1,0.2,5.1294,2016,6,4,5,1,0,136.784,0
2650,Standard Class,Corporate,Hesperia,California,West,Furniture,Bookcases,Bestar Classic Bookcase,424.9575,5,0.15,19.998,2016,9,26,0,0,5,84.9915,0
2654,Second Class,Corporate,Provo,Utah,West,Furniture,Bookcases,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",1292.94,3,0.0,77.5764,2017,9,17,6,1,4,430.98,1
2737,Standard Class,Consumer,Newark,Delaware,East,Furniture,Bookcases,Bestar Classic Bookcase,299.97,3,0.0,56.9943,2015,11,13,4,0,6,99.99000000000001,0
2777,Second Class,Consumer,Bakersfield,California,West,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",195.466,2,0.15,-13.7976,2015,7,17,4,0,2,97.733,0
2796,Standard Class,Corporate,Redondo Beach,California,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,308.499,3,0.15,-18.147,2014,4,12,5,1,5,102.83300000000001,0
2808,Second Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",704.9,5,0.0,56.392,2015,7,25,5,1,2,140.98,0
2825,Standard Class,Home Office,Houston,Texas,Central,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,300.5328,2,0.32,-97.2312,2014,9,25,3,0,5,150.2664,0
2860,Standard Class,Consumer,Atlanta,Georgia,South,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,1628.82,9,0.0,374.6286,2017,5,19,4,0,4,180.98,0
3023,Standard Class,Consumer,Brownsville,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",327.7328,2,0.32,-14.4588,2017,11,17,4,0,6,163.8664,0
3030,Standard Class,Corporate,Lincoln Park,Michigan,Central,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,194.32,4,0.0,31.0912,2015,9,21,0,0,6,48.58,0
3074,Standard Class,Consumer,Los Angeles,California,West,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",120.666,2,0.15,18.4548,2015,10,3,5,1,5,60.333,0
3098,Standard Class,Corporate,Fort Worth,Texas,Central,Furniture,Bookcases,Sauder Barrister Bookcases,220.2656,4,0.32,-42.1096,2017,4,27,3,0,4,55.0664,0
3100,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",242.352,3,0.2,9.0882,2017,4,14,4,0,5,80.784,0
3102,Second Class,Corporate,Providence,Rhode Island,East,Furniture,Bookcases,"Bush Cubix Collection Bookcases, Fully Assembled",220.98,1,0.0,50.8254,2017,12,22,4,0,5,220.98,0
3175,Standard Class,Consumer,Fort Collins,Colorado,West,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",180.588,2,0.7,-240.784,2017,9,23,5,1,6,90.294,0
3351,Standard Class,Corporate,San Diego,California,West,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",435.999,3,0.15,20.5176,2014,9,23,1,0,5,145.333,0
3365,First Class,Consumer,Mission Viejo,California,West,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.666,2,0.15,3.4196,2014,1,31,4,0,2,145.333,0
3368,Standard Class,Consumer,Las Vegas,Nevada,West,Furniture,Bookcases,"Hon Metal Bookcases, Putty",141.96,2,0.0,41.1684,2015,11,21,5,1,4,70.98,0
3466,Standard Class,Corporate,Revere,Massachusetts,East,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,361.96,2,0.0,83.2508,2015,9,10,3,0,4,180.98,0
3507,Standard Class,Consumer,Plano,Texas,Central,Furniture,Bookcases,"Hon Metal Bookcases, Black",193.0656,4,0.32,-19.8744,2014,6,20,4,0,4,48.2664,0
3512,First Class,Corporate,Chicago,Illinois,Central,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,9,0.3,-117.882,2017,9,4,0,0,2,91.68599999999999,0
3762,Second Class,Corporate,West Allis,Wisconsin,Central,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,241.96,2,0.0,24.196,2016,8,13,5,1,5,120.98,0
3820,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",314.352,3,0.2,-15.7176,2017,10,9,0,0,5,104.78399999999999,0
3845,First Class,Corporate,Los Angeles,California,West,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,616.998,6,0.15,-36.294,2014,10,28,1,0,3,102.83300000000001,0
3910,Standard Class,Home Office,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",352.45,5,0.5,-211.47,2015,4,5,6,1,5,70.49,0
3928,First Class,Consumer,Harlingen,Texas,Central,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",241.332,5,0.32,-14.196,2016,3,14,0,0,3,48.2664,0
3985,Standard Class,Consumer,Lakewood,California,West,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",257.499,3,0.15,24.2352,2016,4,17,6,1,4,85.83300000000001,0
3994,Standard Class,Consumer,Kenosha,Wisconsin,Central,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",512.94,3,0.0,97.4586,2015,3,8,6,1,4,170.98000000000002,0
3999,Second Class,Corporate,Port Saint Lucie,Florida,South,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",231.92,5,0.2,5.798,2015,7,17,4,0,3,46.384,0
4023,First Class,Corporate,San Francisco,California,West,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",556.665,5,0.15,6.549,2017,10,27,4,0,1,111.333,0
4071,First Class,Consumer,Dallas,Texas,Central,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",156.3728,2,0.32,-52.8908,2016,8,28,6,1,3,78.1864,0
4088,Standard Class,Consumer,Jonesboro,Arkansas,South,Furniture,Bookcases,"Hon Metal Bookcases, Gray",638.82,9,0.0,172.4814,2014,8,19,1,0,7,70.98,0
4110,Standard Class,Corporate,Detroit,Michigan,Central,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,160.98,1,0.0,20.9274,2015,12,25,4,0,7,160.98,0
4184,First Class,Corporate,Franklin,Massachusetts,East,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,81.94,1,0.0,20.485,2016,12,5,0,0,2,81.94,0
4217,First Class,Corporate,San Francisco,California,West,Furniture,Bookcases,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",482.664,8,0.15,85.176,2017,4,1,5,1,2,60.333,0
4223,Second Class,Consumer,Seattle,Washington,West,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,174.42,3,0.0,41.8608,2017,6,11,6,1,2,58.13999999999999,0
4266,Standard Class,Consumer,Houston,Texas,Central,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,956.6648,7,0.32,-225.0976,2016,11,5,5,1,4,136.6664,0
4284,Second Class,Corporate,Port Arthur,Texas,Central,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,246.1328,2,0.32,-76.0116,2015,11,21,5,1,5,123.0664,0
4383,Standard Class,Consumer,Highland Park,Illinois,Central,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,384.944,4,0.3,-126.4816,2015,7,20,0,0,7,96.236,0
4385,Standard Class,Consumer,Highland Park,Illinois,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",913.43,5,0.3,-52.196,2015,7,20,0,0,7,182.68599999999998,0
4389,First Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",183.968,2,0.2,-25.2956,2017,11,20,0,0,2,91.984,0
4423,First Class,Corporate,Sandy Springs,Georgia,South,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,302.94,3,0.0,75.735,2017,5,18,3,0,1,100.98,0
4453,First Class,Consumer,San Francisco,California,West,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1279.165,5,0.15,225.735,2016,7,4,0,0,2,255.833,0
4468,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,321.568,2,0.2,-16.0784,2017,11,24,4,0,7,160.784,0
4495,Standard Class,Consumer,Los Angeles,California,West,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",917.9235,9,0.15,75.5937,2017,6,18,6,1,5,101.9915,0
4633,Standard Class,Corporate,San Francisco,California,West,Furniture,Bookcases,Sauder Camden County Collection Library,586.398,6,0.15,34.494,2015,8,21,4,0,5,97.733,0
4669,Standard Class,Corporate,Fort Worth,Texas,Central,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",623.4648,7,0.32,-119.1918,2017,5,6,5,1,5,89.0664,0
4684,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,163.88,4,0.5,-81.94,2016,8,29,0,0,5,40.97,0
4727,Second Class,Home Office,New York City,New York,East,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",275.952,3,0.2,-37.9434,2014,11,25,1,0,4,91.984,0
4785,Standard Class,Consumer,Colorado Springs,Colorado,West,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",69.576,4,0.7,-143.7904,2015,12,11,4,0,5,17.394,0
4918,Standard Class,Corporate,Gaithersburg,Maryland,East,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,0.0,38.2668,2016,1,2,5,1,5,57.98,0
4938,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294,2014,1,13,0,0,5,111.33300000000001,0
4941,Standard Class,Consumer,Wilmington,Delaware,East,Furniture,Bookcases,"Hon Metal Bookcases, Putty",283.92,4,0.0,82.3368,2015,2,6,4,0,7,70.98,0
5011,First Class,Corporate,Phoenix,Arizona,West,Furniture,Bookcases,Bestar Classic Bookcase,209.979,7,0.7,-356.9643,2017,5,11,3,0,2,29.997000000000003,0
5034,Second Class,Home Office,Milwaukee,Wisconsin,Central,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,687.4,5,0.0,48.118,2015,8,9,6,1,4,137.48,0
5055,Second Class,Consumer,Dallas,Texas,Central,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,1352.3976,9,0.32,-437.5404,2015,1,3,5,1,5,150.2664,0
5079,Standard Class,Consumer,San Francisco,California,West,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",359.499,3,0.15,-29.6058,2017,11,25,5,1,4,119.83300000000001,0
5161,Standard Class,Corporate,Seattle,Washington,West,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1367.84,8,0.0,259.8896,2014,7,30,2,0,6,170.98,0
5175,Standard Class,Consumer,Waco,Texas,Central,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,328.3992,3,0.32,-91.7586,2017,10,19,3,0,5,109.46640000000001,0
5220,Standard Class,Home Office,Detroit,Michigan,Central,Furniture,Bookcases,"Hon Metal Bookcases, Gray",212.94,3,0.0,57.4938,2014,6,14,5,1,6,70.98,0
5227,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,353.568,2,0.2,-44.196,2016,6,21,1,0,5,176.784,0
5237,Standard Class,Consumer,Columbia,Maryland,East,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,362.94,3,0.0,36.294,2014,9,20,5,1,4,120.98,0
5287,First Class,Consumer,Louisville,Colorado,West,Furniture,Bookcases,Bestar Classic Bookcase,89.991,3,0.7,-152.9847,2017,5,5,4,0,1,29.997,0
5360,Standard Class,Corporate,Fayetteville,North Carolina,South,Furniture,Bookcases,Sauder Cornerstone Collection Library,198.272,8,0.2,-32.2192,2017,4,14,4,0,4,24.784,0
5394,Standard Class,Corporate,Wilmington,Delaware,East,Furniture,Bookcases,Sauder Inglewood Library Bookcases,1025.88,6,0.0,235.9524,2014,11,19,2,0,6,170.98000000000002,0
5399,Standard Class,Consumer,Los Angeles,California,West,Furniture,Bookcases,Bush Somerset Collection Bookcase,556.665,5,0.15,6.549,2016,4,9,5,1,5,111.333,0
5427,Same Day,Home Office,Los Angeles,California,West,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",599.165,5,0.15,35.245,2016,6,14,1,0,0,119.833,0
5465,First Class,Consumer,Scottsdale,Arizona,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597,2014,1,19,6,1,1,36.294,0
5473,Standard Class,Consumer,Parker,Colorado,West,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,102.018,7,0.7,-183.6324,2017,12,19,1,0,4,14.574,0
5494,Same Day,Home Office,San Francisco,California,West,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4,0.15,-4.8392,2014,11,28,4,0,0,102.833,0
5554,Standard Class,Corporate,Houston,Texas,Central,Furniture,Bookcases,Bestar Classic Bookcase,67.9932,1,0.32,-12.9987,2014,11,12,2,0,4,67.9932,0
5651,Second Class,Corporate,Apple Valley,California,West,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1194.165,5,0.15,210.735,2017,7,17,0,0,2,238.833,0
5730,Standard Class,Consumer,Madison,Wisconsin,Central,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",459.92,4,0.0,41.3928,2017,12,8,4,0,5,114.98,0
5732,First Class,Corporate,Milford,Connecticut,East,Furniture,Bookcases,"Hon Metal Bookcases, Putty",638.82,9,0.0,185.2578,2017,6,29,3,0,3,70.98,0
5784,Standard Class,Consumer,Springfield,Oregon,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,217.764,6,0.7,-384.7164,2017,10,2,0,0,6,36.294000000000004,0
5805,Standard Class,Corporate,Dallas,Texas,Central,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",205.9992,3,0.32,-27.2646,2017,11,13,0,0,6,68.6664,0
5858,Second Class,Consumer,Concord,California,West,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",239.666,2,0.15,14.098,2017,9,3,6,1,4,119.833,0
5917,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704,6,0.2,158.5764,2015,9,17,3,0,6,704.784,1
5918,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,2003.92,5,0.2,-25.049,2015,9,17,3,0,6,400.784,1
5929,First Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,87.21,3,0.5,-45.3492,2017,7,7,4,0,2,29.069999999999997,0
5955,Second Class,Corporate,Reading,Pennsylvania,East,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",521.96,4,0.5,-250.5408,2014,11,11,1,0,4,130.49,0
5972,Standard Class,Consumer,New York City,New York,East,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",240.784,1,0.2,30.098,2017,2,6,0,0,5,240.784,0
5989,Standard Class,Consumer,Hattiesburg,Mississippi,South,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,504.9,5,0.0,126.225,2016,7,19,1,0,6,100.97999999999999,0
6121,Standard Class,Corporate,Springfield,Oregon,West,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,72.588,2,0.7,-128.2388,2017,9,19,1,0,6,36.294,0
